iter	RMSE
276	145844.8963
277	145836.7165
278	145667.551
279	145508.4626
280	145378.01
281	145271.658
282	145242.5512
283	145196.2579
284	144962.4389
285	144856.163
286	144761.0198
287	144739.8545
288	144660.1482
289	144579.6942
290	144562.4163
291	144377.8536
292	144359.5716
293	144200.9398
294	144119.9126
295	144013.5575
296	143997.8086
297	143848.539
298	143722.578
299	143608.6578
300	143504.5823
301	143309.1481
302	143290.8692
303	143161.9319
304	143072.5773
305	143057.4329
306	142935.1144
307	142791.2261
308	142678.3736
309	142589.5671
310	142493.0301
311	142281.9619
312	142158.7382
313	142003.4188
314	141906.3865
315	141816.3951
316	141628.7992
317	141467.0657
318	141281.047
319	141144.3951
320	140868.2892
321	140742.0861
322	140538.5468
323	140369.3574
324	140226.8657
325	140104.4034
326	140005.1383
327	139892.1836
328	139764.8982
329	139627.1686
330	139562.3773
331	139413.7971
332	139257.7747
333	139123.3432
334	139045.115
335	138939.0891
336	138751.8442
337	138659.7224
338	138552.1493
339	138481.7475
340	138361.0702
341	138257.4358
342	138131.06
343	138076.7402
344	137951.5171
345	137851.5107
346	137738.4584
347	137647.2866
348	137564.5721
349	137476.4627
350	137392.9295
351	137283.9862
352	137220.2421
353	137161.986
354	137074.3726
355	136962.6756
356	136852.4224
357	136705.5251
358	136694.4003
359	136596.7061
360	136497.0606
361	136493.7618
362	136392.4333
363	136301.7812
364	136298.6676
365	136155.9341
366	136075.3231
367	135996.3299
368	135944.1352
369	135839.9946
370	135765.7402
371	135666.2434
372	135575.9711
373	135479.3435
374	135380.3878
375	135308.9724
376	135246.2262
377	135243.5492
378	135176.8738
379	135102.9486
380	134975.4947
381	134972.9856
382	134969.3691
383	134824.2986
384	134735.0142
385	134545.6175
386	134523.7095
387	134447.8837
388	134302.1391
389	134244.837
390	134126.1008
391	134044.1464
392	134042.3467
393	134020.3397
394	133977.7701
395	133830.0709
396	133782.809
397	133733.5025
398	133713.0486
399	133622.3707
400	133547.2911
401	133390.6853
402	133206.8403
403	133120.4203
404	133063.4191
405	132972.3887
406	132909.1875
407	132861.563
408	132815.4998
409	132681.4266
410	132586.5159
411	132497.463
412	132402.26
413	132247.6032
414	132153.6849
415	132055.9025
416	131991.3615
417	131896.554
418	131847.096
419	131757.4205
420	131645.9587
421	131562.2416
422	131487.4274
423	131441.9491
424	131386.5815
425	131286.6503
426	131189.5539
427	131065.1321
428	130917.2625
429	130839.0499
430	130796.4364
431	130648.5629
432	130530.5903
433	130477.9573
434	130458.8365
435	130348.6441
436	130287.2369
437	130228.38
438	130147.5812
439	130072.757
440	129973.5559
441	129920.058
442	129811.0104
443	129709.3408
444	129707.7611
445	129600.6409
446	129526.7296
447	129465.7393
448	129380.0401
449	129248.2334
450	129165.6995
451	129034.3555
452	128970.4149
453	128869.9713
454	128769.493
455	128670.0618
456	128582.705
457	128513.4069
458	128440.5258
459	128361.9832
460	128279.1821
461	128214.757
462	128167.6725
463	128071.4381
464	128042.9843
465	127993.8523
466	127901.892
467	127812.2589
468	127726.4786
469	127639.1615
470	127598.2118
471	127502.6527
472	127451.3005
473	127365.2614
474	127277.2589
475	127260.4946
476	127205.6204
477	127170.3232
478	127115.8347
479	127012.6406
480	126982.7271
481	126919.4939
482	126820.6677
483	126702.745
484	126658.4188
485	126598.5245
486	126545.9955
487	126478.215
488	126386.9146
489	126353.8073
490	126308.1122
491	126242.1993
492	126214.6002
493	126162.1248
494	126106.5279
495	126075.2431
496	126014.0949
497	125957.392
498	125901.005
499	125838.3678
500	125750.5248
501	125672.2238
502	125632.3459
503	125568.7576
504	125496.8316
505	125474.5969
506	125377.6115
507	125327.2589
508	125240.195
509	125189.761
510	125097.0018
511	125006.8539
512	124917.7284
513	124846.9067
514	124773.225
515	124645.802
516	124559.7502
517	124484.2822
518	124435.6909
519	124379.8003
520	124298.5283
521	124221.4801
522	124189.5898
523	124134.1198
524	124038.9703
525	123972.6634
526	123894.4902
527	123834.9583
528	123778.8566
529	123747.7795
530	123664.7481
531	123621.4336
532	123604.1125
533	123553.8242
534	123525.038
535	123473.4572
536	123423.7229
537	123321.9904
538	123267.3563
539	123188.1558
540	123152.2551
541	123083.9561
542	122999.128
543	122939.8635
544	122894.5878
545	122814.3548
546	122766.6588
547	122732.3088
548	122681.8712
549	122608.6707
550	122551.093
551	122498.7681
552	122457.6158
553	122392.3985
554	122362.6488
555	122280.3902
556	122225.813
557	122173.7342
558	122083.3992
559	122015.9544
560	121950.1505
561	121921.936
562	121855.6798
563	121797.0923
564	121753.4822
565	121713.1385
566	121638.9821
567	121558.2396
568	121501.526
569	121491.5894
570	121435.4855
571	121384.432
572	121370.6542
573	121315.1853
574	121259.2336
575	121190.1072
576	121110.724
577	121093.9037
578	121019.7642
579	120954.5859
580	120911.0358
581	120886.2121
582	120824.4696
583	120751.1395
584	120672.9316
585	120652.4199
586	120637.9733
587	120554.8399
588	120460.5035
589	120399.5529
590	120352.299
591	120255.0496
592	120192.8978
593	120175.8416
594	120120.4497
595	120066.8643
596	120038.5935
597	119988.6388
598	119958.7214
599	119912.6648
600	119852.0707
601	119753.7206
602	119722.2154
603	119641.891
604	119602.3256
605	119526.0454
606	119463.7295
607	119418.6132
608	119388.2724
609	119328.6288
610	119300.3964
611	119233.7713
612	119186.2143
613	119149.4004
614	119103.8953
615	119043.4647
616	119023.4808
617	118942.8915
618	118935.5478
619	118880.0279
620	118827.8953
621	118756.7963
622	118710.3866
623	118678.7109
624	118635.0247
625	118590.3901
626	118544.6722
627	118517.3185
628	118447.6169
629	118429.31
630	118380.1665
631	118352.9473
632	118305.4226
633	118241.5986
634	118194.9637
635	118173.675
636	118123.0839
637	118097.0108
638	118077.9261
639	118014.2733
640	117970.5102
641	117944.3553
642	117919.7206
643	117848.473
644	117805.6551
645	117772.936
646	117749.2344
647	117726.2953
648	117669.2305
649	117648.1968
650	117616.0354
651	117608.1574
652	117573.3448
653	117535.9137
654	117513.1325
655	117474.0158
656	117430.0973
657	117408.2652
658	117378.3578
659	117334.2054
660	117264.8968
661	117231.7476
662	117187.1023
663	117158.2865
664	117115.1599
665	117070.42
666	117040.5667
667	116992.4572
668	116947.3154
669	116903.6686
670	116856.1854
671	116833.8883
672	116796.1935
673	116733.376
674	116703.6378
675	116628.4319
676	116602.2033
677	116565.1858
678	116525.0811
679	116516.1701
680	116459.5649
681	116432.775
682	116407.5972
683	116373.0217
684	116282.6218
685	116261.5095
686	116245.9827
687	116183.3151
688	116151.7159
689	116106.7422
690	116048.4975
691	116034.1177
692	115967.3923
693	115904.9532
694	115870.0945
695	115803.305
696	115784.0384
697	115773.7412
698	115696.7228
699	115673.2977
700	115637.1896
701	115595.3168
702	115558.0265
703	115513.131
704	115457.6473
705	115404.4339
706	115361.2743
707	115334.1063
708	115315.2489
709	115261.2348
710	115195.1306
711	115154.2202
712	115093.1266
713	115073.2902
714	115023.2828
715	114991.3848
716	114956.2829
717	114887.7123
718	114850.8466
719	114805.2623
720	114769.7098
721	114752.1043
722	114732.1652
723	114680.9275
724	114668.7653
725	114610.2201
726	114559.3847
727	114492.842
728	114455.3025
729	114440.7439
730	114403.1671
731	114375.524
732	114355.51
733	114335.7042
734	114315.0506
735	114287.7744
736	114267.6852
737	114228.8816
738	114202.8792
739	114183.0759
740	114153.3918
741	114117.7327
742	114075.9593
743	114053.5363
744	114011.3111
745	113984.8489
746	113948.3952
747	113921.1966
748	113891.5196
749	113861.9237
750	113835.3039
751	113815.6824
752	113787.9424
753	113752.2466
754	113714.028
755	113695.9529
756	113665.634
757	113649.8155
758	113589.2817
759	113522.2784
760	113487.3935
761	113454.542
762	113423.0498
763	113394.5622
764	113365.8566
765	113333.1792
766	113317.2032
767	113255.6335
768	113209.3029
769	113187.5348
770	113160.2353
771	113122.5769
772	113096.6892
773	113057.5938
774	113009.4019
775	112995.8109
776	112960.5918
777	112923.7655
778	112903.8246
779	112887.557
780	112865.9953
781	112825.7992
782	112783.489
783	112744.9534
784	112724.9152
785	112699.0265
786	112632.9445
787	112604.4601
788	112574.4426
789	112541.7792
790	112525.997
791	112499.8952
792	112470.7046
793	112416.2908
794	112397.8561
795	112366.0339
796	112336.5819
797	112316.3003
798	112270.9259
799	112231.6144
800	112188.1294
801	112168.1394
802	112129.9452
803	112095.4713
804	112082.0319
805	112041.3726
806	112013.9231
807	111982.6476
808	111947.2038
809	111902.2499
810	111881.4764
811	111842.0036
812	111825.7168
813	111792.4567
814	111765.0047
815	111721.5345
816	111666.7583
817	111633.0035
818	111597.8715
819	111582.8236
820	111566.4147
821	111542.7228
822	111517.1036
823	111504.319
824	111467.0278
825	111437.5191
826	111416.7511
827	111400.2413
828	111368.7335
829	111351.2043
830	111316.4529
831	111282.6193
832	111242.4745
833	111195.8798
834	111157.6488
835	111122.8899
836	111109.9654
837	111091.2114
838	111075.2428
839	111047.7613
840	110990.3507
841	110921.9355
842	110901.2269
843	110851.4993
844	110830.9061
845	110790.3614
846	110749.3753
847	110722.3124
848	110699.6302
849	110653.2132
850	110630.6794
851	110595.8544
852	110558.6205
853	110523.7037
854	110470.6709
855	110460.2112
856	110435.47
857	110412.9057
858	110402.5905
859	110396.3483
860	110384.09
861	110363.0486
862	110346.9699
863	110338.4909
864	110312.9149
865	110265.0978
866	110207.9099
867	110183.8709
868	110172.1793
869	110157.9201
870	110152.4438
871	110137.8728
872	110133.4097
873	110120.4384
874	110077.6641
875	110055.5411
876	110003.8456
877	109972.071
878	109940.541
879	109908.874
880	109870.586
881	109851.8447
882	109821.5112
883	109792.8663
884	109779.3611
885	109743.3814
886	109725.7169
887	109686.3193
888	109659.7177
889	109629.7667
890	109593.3485
891	109565.0129
892	109543.4583
893	109507.2826
894	109481.2867
895	109452.1286
896	109425.3515
897	109404.3665
898	109375.6421
899	109320.5476
900	109284.919
901	109249.0575
902	109185.7076
903	109157.6043
904	109132.4675
905	109114.5376
906	109093.4201
907	109075.3581
908	109056.9307
909	109037.5177
910	108980.0097
911	108941.8224
912	108925.0161
913	108896.4771
914	108874.3804
915	108859.2038
916	108812.5664
917	108796.117
918	108774.4134
919	108722.6422
920	108691.7947
921	108655.383
922	108616.8307
923	108571.0189
924	108549.7385
925	108506.5544
926	108483.8885
927	108455.1933
928	108429.8365
929	108401.7762
930	108377.6333
931	108360.1008
932	108353.4979
933	108330.5988
934	108304.6367
935	108262.0007
936	108242.1035
937	108218.8379
938	108187.534
939	108159.1341
940	108127.2553
941	108121.2117
942	108085.2493
943	108051.362
944	108032.8282
945	108027.3562
946	108013.5733
947	107998.4335
948	107946.4616
949	107930.0144
950	107907.7095
951	107874.0316
952	107862.3481
953	107815.4484
954	107811.1419
955	107792.437
956	107762.896
957	107750.7694
958	107714.9487
959	107648.8447
960	107642.9082
961	107592.0142
962	107547.2621
963	107517.7003
964	107479.0206
965	107454.3344
966	107417.3127
967	107381.1194
968	107369.2334
969	107336.1518
970	107315.6698
971	107283.9641
972	107263.6834
973	107240.292
974	107202.9196
975	107190.1305
976	107171.5764
977	107164.3477
978	107142.6274
979	107117.9226
980	107105.3583
981	107083.2493
982	107052.1876
983	107016.8844
984	106981.9417
985	106955.7518
986	106931.9224
987	106908.3153
988	106857.9524
989	106845.3325
990	106828.2307
991	106803.107
992	106782.3478
993	106759.3
994	106720.3638
995	106687.0496
996	106668.6451
997	106646.9976
998	106576.3315
999	106552.7203
